run_id,frame_number,timestamp,source,state,previous_state,transition_reason,target_present,ground_truth_x,ground_truth_y,ideal_projected_x,ideal_projected_y,rendered_centroid_x,rendered_centroid_y,estimated_centroid_x,estimated_centroid_y,centroid_error_ideal,centroid_error_rendered,tracking_error,detection_confidence,candidate_count,detection_valid,pan_angle,tilt_angle,pan_command,tilt_command,processing_time_ms,fps
run_1788625614,10,0.3333333333333333,SIMULATION,SEARCHING,SEARCHING,Reset,False,764.5530596395308,1905.377951013387,,,,,,,,,,0.0,0,False,-0.36666666666666664,-0.27499999999999997,-1.0,-0.75,5.285800012643449,189.1861208536144
run_1788625614,11,0.36666666666666664,SIMULATION,SEARCHING,SEARCHING,Reset,False,765.7315709415084,1906.5564623153646,,,,,,,,,,0.0,0,False,-0.39999999999999997,-0.3,-1.0,-0.75,5.726799994590692,174.61758764834818
run_1788625614,12,0.39999999999999997,SIMULATION,SEARCHING,SEARCHING,Reset,False,766.9100822434859,1907.7349736173421,,,,,,,,,,0.0,0,False,-0.4333333333333333,-0.325,-1.0,-0.75,8.543399992049672,117.04941837331522
run_1788625614,13,0.4333333333333333,SIMULATION,SEARCHING,SEARCHING,Reset,False,768.0885935454635,1908.9134849193197,,,,,,,,,,0.0,0,False,-0.4666666666666666,-0.35000000000000003,-1.0,-0.75,8.13919999927748,122.86219776990004
run_1788625614,14,0.4666666666666666,SIMULATION,SEARCHING,SEARCHING,Reset,False,769.267104847441,1910.0919962212972,,,,,,,,,,0.0,0,False,-0.49999999999999994,-0.37500000000000006,-1.0,-0.75,5.970400001388043,167.49296525651758
run_1788625614,15,0.49999999999999994,SIMULATION,SEARCHING,SEARCHING,Reset,False,770.4456161494186,1911.2705075232748,,,,,,,,,,0.0,0,False,-0.5333333333333333,-0.4000000000000001,-1.0,-0.75,5.915699992328882,169.04170280723142
run_1788625614,16,0.5333333333333333,SIMULATION,SEARCHING,SEARCHING,Reset,False,771.6241274513961,1912.4490188252523,,,,,,,,,,0.0,0,False,-0.5666666666666667,-0.4250000000000001,-1.0,-0.75,7.921500000520609,126.23871740633453
run_1788625614,17,0.5666666666666667,SIMULATION,SEARCHING,SEARCHING,Reset,False,772.8026387533737,1913.6275301272299,,,,,,,,,,0.0,0,False,-0.6,-0.4500000000000001,-1.0,-0.75,6.696500000543892,149.3317404493063
run_1788625614,18,0.6,SIMULATION,SEARCHING,SEARCHING,Reset,False,773.9811500553512,1914.8060414292074,,,,,,,,,,0.0,0,False,-0.6333333333333333,-0.47500000000000014,-1.0,-0.75,9.61930000630673,103.95766836925421
run_1788625614,19,0.6333333333333333,SIMULATION,SEARCHING,SEARCHING,Reset,False,775.1596613573288,1915.984552731185,,,,,,,,,,0.0,0,False,-0.6666666666666666,-0.5000000000000001,-1.0,-0.75,8.246400000643916,121.26503685510228
run_1788625614,20,0.6666666666666666,SIMULATION,SEARCHING,SEARCHING,Reset,False,776.3381726593063,1917.1630640331625,,,,,,,,,,0.0,0,False,-0.7,-0.5250000000000001,-1.0,-0.75,11.007900000549853,90.8438485042605
run_1788625614,21,0.7,SIMULATION,SEARCHING,SEARCHING,Reset,False,777.5166839612839,1918.34157533514,,,,,,,,,,0.0,0,False,-0.7333333333333333,-0.5500000000000002,-1.0,-0.75,10.472599999047816,95.48727155538467
run_1788625614,22,0.7333333333333333,SIMULATION,SEARCHING,SEARCHING,Reset,False,778.6951952632614,1919.5200866371176,,,,,,,,,,0.0,0,False,-0.7666666666666666,-0.5750000000000002,-1.0,-0.75,9.521400002995506,105.02657168960366
run_1788625614,23,0.7666666666666666,SIMULATION,SEARCHING,SEARCHING,Reset,False,779.873706565239,1920.6985979390952,,,,,,,,,,0.0,0,False,-0.7999999999999999,-0.6000000000000002,-1.0,-0.75,12.17369998630602,82.1442947604165
